state_abbv,state_fips,year,website_pollingplace,website_reg_status,website_precinct_ballot,website_absentee_status,website_provisional_status,reg_rej,prov_partic,prov_rej_all,abs_rej_all_ballots,abs_nonret,uocava_rej,uocava_nonret,eavs_completeness,post_election_audit,nonvoter_illness_pct,nonvoter_reg_pct,online_reg,wait,residual,pct_reg_of_vep_vrs,vep_turnout
AK,Alaska,2008,0,0,,,,.06810195,.062138822,.00078125711,.0018604256,.16454825,.042964555,.1546564,1,1,.15214236,.052107278,0,5.7127004,.0034948266,.87569302,.68277264
AK,Alaska,2010,1,1,0,1,0,.08204972,.049772527,.0049784016,.0021139057,.15594244,.042494591,.48281661,1,1,.09313529,.035279382,0,,,.83543092,.52556038
AK,Alaska,2012,1,1,0,1,0,.097062916,.060354091,.00081001106,.002661465,.15452495,.082483955,.19329703,1,1,.12015536,.063834205,0,3.6568716,.0039742002,.86847156,.59180635
AK,Alaska,2014,1,1,0,1,0,.086495906,.056739084,.0072061163,.003245001,.24949852,.050324675,.25664371,1,1,.093119651,.020183906,0,4.1565981,,.8269493,.54381794
AK,Alaska,2016,1,1,1,1,0,.11164635,.061313752,.00083826185,.0027096584,.13172203,.079329856,.12363035,1,1,.12192352,.05422933,1,6.4288425,.0082982099,.87502903,.61800861
AL,Alabama,2008,0,0,,,,.00043909875,,,,,,.31000322,.48609424,0,.2261501,.075938895,0,14.260803,,.85220754,.60952842
AL,Alabama,2010,1,1,0,1,1,.0010221432,.0023871255,.0012293512,,,.19175628,.76430768,.59425175,0,.18656588,.078653038,0,,,.8214131,.43060836
AL,Alabama,2012,1,1,0,1,1,,.0036718757,.0021163446,,,,,.58248115,0,.23142886,.076355055,0,11.308345,.0062190001,.86328095,.58890975
AL,Alabama,2014,1,1,0,1,1,.017743733,.0019377223,.00061303435,,,,.81782645,.62521034,0,.16604702,.06461484,0,3.71631,,.80184573,.33212399
AL,Alabama,2016,1,1,1,1,1,.01607169,,,,.10025997,.039246466,.38134205,.72850353,0,.22291428,.050768558,1,13.146628,.0066012298,.86212748,.59257072
AR,Arkansas,2008,1,1,,,,,.0020310334,,,,,.26000941,.70734876,0,.17098345,.037976686,0,21.483608,.0085276598,.74238497,.52904886
AR,Arkansas,2010,1,1,1,1,0,.045255907,.0016514588,.00090785581,.0016141824,.097371541,.041946311,.5247525,.97760504,0,.15861425,.025411213,0,,,.71925467,.37541923
AR,Arkansas,2012,1,1,1,1,0,,.0024149076,.0015701201,.00094982161,.090755172,.10014171,.27744511,.96925056,0,.17145225,.051281892,0,12.887924,.0084186997,.7594837,.50954992
AR,Arkansas,2014,1,1,0,1,0,.01393076,.0019158198,.0010862025,.0012380371,.094845697,,.35431653,.95094705,0,.14078654,.022307964,0,7.7012954,,.74729663,.40142861
AR,Arkansas,2016,1,1,1,1,0,.033786308,.004131767,.0030509874,.0016215255,.079493009,,.17259933,.93391359,0,.20186481,.046497617,0,15.270416,.00627279,.83705938,.53103119
AZ,Arizona,2008,0,0,,,,,.065406613,.019162368,.0029415933,.064290576,.019081889,.36594051,.98944879,1,.12171349,.091858916,1,23.714245,.011795674,.82941592,.57360554
AZ,Arizona,2010,1,1,0,0,1,,.046745561,.0082611777,.0047194487,.23077932,.035565645,.67289603,.99101335,1,.087297969,.064290255,1,,,.80325204,.41521883
AZ,Arizona,2012,1,1,0,1,1,,.078869276,.014211697,.0053322911,.19674179,.0095288511,.28583315,.99073499,1,.12530252,.090455242,1,10.787029,.0104688,.77452207,.53292167
AZ,Arizona,2014,1,1,0,1,1,.087054349,.042909048,.0055109318,.0067556715,.42126796,.033846155,.6309821,1,1,.077035852,.055106144,1,2.1547434,,.77447933,.34115994
AZ,Arizona,2016,1,1,0,1,1,,.037650678,.00879985,.0039553232,.18576646,.026981179,.18325317,.98555118,1,.08287324,.063461348,1,5.6544242,.0213564,.809389,.56217176
CA,California,2008,0,0,,,,,.057856195,.0098768296,.0096582724,.16152531,.056657549,.37332803,.96755618,1,.14775597,.085749581,0,13.643649,.013190327,.82484579,.61735171
CA,California,2010,0,0,0,0,0,,.051936179,.0064788805,.0069039864,.30940014,.044668358,.7217111,.98531157,1,.11231986,.051526897,0,,,.75913417,.45050842
CA,California,2012,0,0,0,0,0,,.081449635,.013647079,.0045501031,.29382619,.084828839,.46028459,.98311806,1,.13636522,.093503714,1,5.8031926,.0123927,.80100423,.55893815
CA,California,2014,1,0,0,0,0,.096147023,.050601542,.0054662847,.0065635093,.4949773,.1152748,.83754742,.99565881,1,.10194969,.041763436,1,2.087554,,.74149376,.3078467
CA,California,2016,1,1,0,1,1,.15851121,.089469254,.013246233,.0040015061,.29174548,.047381636,.29253381,.99126631,1,.11564228,.07864251,1,6.6078906,.025503291,.797656,.5840137
CO,Colorado,2008,0,1,,,,,.021891385,.0033937104,.0032985019,.090012543,.05809316,.26238385,.93966848,1,.11898357,.064454556,0,12.64701,.0086180698,.84003299,.71601105
CO,Colorado,2010,1,1,0,1,1,.06640432,.021528471,.002005663,.0043214466,.21994133,.029903254,.57023472,1,1,.098185003,.048164621,1,,,.82371521,.50696188
CO,Colorado,2012,1,1,0,1,1,.016784405,.02422197,.0038040136,.0063234498,.12493495,.036514428,.3044472,1,1,.091950834,.063574754,1,6.3068857,.0104516,.87843382,.71049291
CO,Colorado,2014,1,1,0,1,1,.024444325,.00047257569,.00019124622,.0071792002,.349731,.017859757,.6655581,1,1,.072137155,.043039098,1,1.4026475,,.8667469,.54463571
CO,Colorado,2016,1,1,0,1,1,.032989845,.0020490957,.00051418087,.0080608167,.22166236,.01612764,.40220064,1,1,.070554003,.061499361,1,2.3994479,.02761911,.90048063,.72087783
CT,Connecticut,2008,0,0,,,,.0042328816,.00043469141,.00027175812,.0018682611,,,,.7778371,1,.21747319,.047210388,0,10.074364,,.85563833,.66642547
CT,Connecticut,2010,1,1,0,1,0,,.0007981821,.00050092209,.0010763758,.065101564,.01594203,.36032757,.94395918,1,.14739034,.028934998,0,,,.81373984,.45959899
CT,Connecticut,2012,1,1,0,1,0,,.00061705452,.00054016302,.0015096371,.086557195,.0096427789,.11451863,.77777779,1,.18870133,.041932113,0,8.5024147,,.84491897,.60998958
CT,Connecticut,2014,1,1,0,1,0,,.000017326976,8.2075148e-06,.0010979831,.083932973,.018382354,.26684636,.94444442,1,.12389116,.024503469,1,2.990191,,.81141531,.42533553
CT,Connecticut,2016,1,1,1,1,0,,.000039380531,.000021480289,.0015107804,.06347236,.017947281,.18253969,.88235295,1,.20214406,.032871366,1,6.0732584,.018503699,.86545414,.65427256
DC,District of Columbia,2008,1,1,,,,,.064851835,.018376082,.010393572,.036683787,,.5354439,.77777779,0,.26005191,.10069024,0,,.0038145771,.90909058,.6169486
DC,District of Columbia,2010,1,1,0,1,1,.028801413,.039588947,.0029297881,.0023482472,.32695112,.10903427,.71184921,1,1,.13236502,.061274771,0,,,.84706759,.29573914
DC,District of Columbia,2012,1,1,0,1,1,.0053328583,.13130152,.011027887,.0013457761,.28201592,.015,.18588874,1,1,.24762523,.092626214,0,33.85453,.0016652,.92459375,.61965692
DC,District of Columbia,2014,1,1,0,1,1,.0034302142,.11340816,.0067370627,0,.25401288,.14986376,.58072287,1,1,.10667844,.055677619,1,6.9017677,,.8625319,.35791108
DC,District of Columbia,2016,1,1,1,1,1,.0050269738,.01105371,.004672253,.00010582316,.2217489,.040540539,.18975469,1,1,.20776799,.03172313,1,16.281755,.0041813999,.93633616,.61113918
DE,Delaware,2008,1,0,,,,.24614403,.00094780803,.00079866056,.00080106617,.035596754,.07375145,.22553192,1,1,.21303475,.047521967,0,12.161645,.0027807197,.8579402,.65832853
DE,Delaware,2010,1,0,1,1,1,.16003108,.0001041818,.000097867749,.00043566932,.045477178,.043117743,.63942605,1,1,.1426831,.012888312,0,,,.81675464,.47842926
DE,Delaware,2012,1,0,1,1,1,.041488245,.0010846896,.0010008835,.00057466998,.076339856,.097714283,.28508288,1,1,.18058525,.051018059,0,4.9209337,.0088689001,.86270422,.62660235
